ticker,date,gics_sub_industry,embedding_peers,benchmark_peers,embedding_peer_corr,benchmark_peer_corr,corr_diff
A,2011-10-31,Life Sciences Tools & Services,AMP|WYNN|RJF|FITB|PFG,WAT|CRL|DHR|MTD|TMO,0.9208402815370287,0.9150503340250437,0.0057899475119850274
BSX,2011-10-31,Health Care Equipment,CHTR|GEN|EXPE|EBAY|AVGO,RMD|DXCM|ISRG|RVTY|SYK,0.6595645165111255,0.719518511500918,-0.05995399498979248
BX,2011-10-31,Asset Management & Custody Banks,KEY|PLD|LEN|KKR|DD,BK|KKR|TROW|NTRS|AMP,0.9238258870128667,0.927767227013932,-0.003941340001065274
C,2011-10-31,Diversified Banks,MET|IVZ|DD|BX|KKR,USB|PNC|JPM|BAC|WFC,0.9418494326077834,0.9542630165292636,-0.012413583921480176
CAG,2011-10-31,Packaged Foods & Meats,T|SJM|MDLZ|MKC|NEE,HSY|MKC|CPB|GIS|SJM,0.6547165352311392,0.6678943112830237,-0.013177776051884527
CB,2011-10-31,Property & Casualty Insurance,MRSH|ROP|GL|SPG|AJG,ALL|TRV|ACGL|WRB|HIG,0.9651805885579715,0.9435208621337933,0.02165972642417824
CBOE,2011-10-31,Financial Exchanges & Data,AMT|ELV|NKE|MA|V,CME|NDAQ|MSCI|ICE|MCO,0.5137160463977228,0.6195602127517258,-0.10584416635400296
CDNS,2011-10-31,Application Software,CTSH|HUM|CCL|RL|SBUX,CRM|ADSK|TRMB|SNPS|ORCL,0.8273824586037989,0.885239338799069,-0.05785688019527013
CINF,2011-10-31,Property & Casualty Insurance,AIZ|CASY|FRT|DLR|EG,HIG|CB|WRB|TRV|PGR,0.9332254872722457,0.9396317382287154,-0.006406250956469628
CME,2011-10-31,Financial Exchanges & Data,PNC|PNR|LHX|PKG|MSCI,MSCI|CBOE|FDS|SPGI|ICE,0.7961652044278744,0.8118086431441618,-0.015643438716287372
CMS,2011-10-31,Multi-Utilities,AEE|AEP|NI|CL|WEC,PCG|DTE|D|NI|PNW,0.9450836803049734,0.9376260511685809,0.007457629136392474
CNP,2011-10-31,Multi-Utilities,LNT|NI|CMS|LMT|TJX,PNW|NEE|SRE|XEL|CMS,0.8571835998748193,0.7973836457770528,0.059799954097766506
COP,2011-10-31,Oil & Gas Exploration & Production,CPRT|CMCSA|DRI|CVX|BALL,DVN|OXY|EQT|EOG|APA,0.928836932233586,0.8958162929044742,0.03302063932911181
CPB,2011-10-31,Packaged Foods & Meats,MDLZ|PEP|NEE|T|PG,CAG|MKC|HSY|HRL|MDLZ,0.5365597443799951,0.5684365820556008,-0.031876837675605674
CRL,2011-10-31,Life Sciences Tools & Services,IEX|VTRS|AES|ARE|ZBRA,TECH|A|DHR|TMO|WAT,0.5706863971949295,0.6685960412037444,-0.09790964400881486
CRM,2011-10-31,Application Software,NDSN|UHS|MOS|NTAP|CMI,CDNS|ADSK|ORCL|FICO|ADBE,0.6552321031823186,0.6676859131532038,-0.012453809970885188
CTRA,2011-10-31,Oil & Gas Exploration & Production,WYNN|LULU|BX|LEN|KKR,EQT|EOG|APA|TPL|OXY,0.6766563246979517,0.7615775237082467,-0.08492119901029505
D,2011-10-31,Multi-Utilities,CL|DUK|PPL|AEP|GIS,NI|NEE|SRE|PCG|XEL,0.9242653676269439,0.9176841223842668,0.006581245242677114
DD,2011-10-31,Specialty Chemicals,MET|PLD|LII|STLD|BX,LYB|PPG|SHW|IFF|ALB,0.9461148343175448,0.9051424730445327,0.04097236127301218
DHR,2011-10-31,Life Sciences Tools & Services,APD|ITW|MRSH|ROP|EFX,TECH|WAT|TMO|A|MTD,0.9633869459765292,0.910157603864293,0.05322934211223618
DOV,2011-10-31,Industrial Machinery & Supplies & Components,AME|CSX|JBHT|DE|KIM,PNR|SNA|SWK|PH|GWW,0.8987857953043766,0.9255819205142606,-0.026796125209883948
DTE,2011-10-31,Multi-Utilities,ABT|NEE|EVRG|ETR|AEP,SRE|PCG|NI|PNW|ED,0.9549370403253805,0.9771307849062348,-0.022193744580854324
DUK,2011-10-31,Electric Utilities,ED|D|SO|XEL|PG,PEG|FE|LNT|EVRG|EIX,0.9095719219324442,0.9214812801029952,-0.011909358170551054
DVN,2011-10-31,Oil & Gas Exploration & Production,CSX|UHS|DOV|IEX|JBHT,APA|CTRA|TPL|EOG|EQT,0.8868115008598346,0.9312569391604351,-0.04444543830060044
DXCM,2011-10-31,Health Care Equipment,VRTX|REGN|INCY|TMUS|COO,BSX|ZBH|BAX|RVTY|PODD,0.32745363327280974,0.34860128753928626,-0.021147654266476523
ECL,2011-10-31,Specialty Chemicals,HD|SNPS|PFE|YUM|PAYX,DD|IFF|LYB|PPG|ALB,0.9026549490273382,0.8625944082710943,0.04006054075624388
ED,2011-10-31,Multi-Utilities,DUK|KMB|D|XEL|WEC,D|NEE|DTE|CMS|SRE,0.9685208153880664,0.9383104713386136,0.030210344049452886
EIX,2011-10-31,Electric Utilities,MRK|AEE|WEC|AMGN|PNW,AEP|EVRG|FE|SO|LNT,0.8690400401838728,0.8702111789070336,-0.0011711387231607695
EOG,2011-10-31,Oil & Gas Exploration & Production,OXY|FICO|MET|APA|SLB,EQT|COP|APA|DVN|CTRA,0.8257421428711532,0.8482967743977102,-0.022554631526557012
EQT,2011-10-31,Oil & Gas Exploration & Production,IP|WMB|EL|BKNG|CTSH,EOG|COP|TPL|APA|CTRA,0.8333363332378163,0.9152308408230808,-0.08189450758526451
ES,2011-10-31,Electric Utilities,EXC|EIX|WEC|MRK|LMT,EXC|PPL|DUK|EVRG|PEG,0.8745187296654245,0.8740525081929252,0.00046622147249930634
ETR,2011-10-31,Electric Utilities,AEP|EVRG|NEE|DTE|CMS,DUK|PEG|FE|EXC|EVRG,0.9279516288336832,0.9114665445163977,0.01648508431728546
EVRG,2011-10-31,Electric Utilities,SRE|AEP|ETR|DTE|MO,ETR|EXC|ES|PPL|LNT,0.9323769504343663,0.9414616413971099,-0.009084690962743558
EW,2011-10-31,Health Care Equipment,AIZ|CHRW|ICE|ELV|UNH,STE|BDX|SYK|MDT|DXCM,0.6917015009843789,0.47154849598869625,0.22015300499568263
EXC,2011-10-31,Electric Utilities,MKC|T|LMT|JNJ|NEE,WEC|LNT|SO|EIX|FE,0.8583750783559433,0.8746124216227795,-0.016237343266836235
FDS,2011-10-31,Financial Exchanges & Data,WELL|ICE|VTR|HD|GPC,CBOE|NDAQ|MCO|ICE|SPGI,0.8899312936482895,0.9262576541874948,-0.03632636053920535
FE,2011-10-31,Electric Utilities,COST|PEG|BAX|HSY|RSG,SO|EVRG|LNT|EIX|PEG,0.8796757424799464,0.8463293252754285,0.03334641720451792
FICO,2011-10-31,Application Software,EME|EOG|OXY|SLB|ODFL,ORCL|INTU|ADSK|ADBE|CRM,0.6317441546537457,0.6094361534614341,0.022308001192311577
FSLR,2011-10-31,Semiconductors,NFLX|VRTX|ON|TMUS|COHR,NXPI|NVDA|MCHP|AVGO|AMD,0.7269863203990975,0.6777790193701942,0.04920730102890325
GD,2011-10-31,Aerospace & Defense,FISV|DRI|BALL|COP|CMCSA,RTX|NOC|LHX|LMT|GE,0.8630252881089795,0.893526655188328,-0.030501367079348474
GE,2011-10-31,Aerospace & Defense,AXP|FIS|BA|COP|CMCSA,BA|LMT|GD|RTX|NOC,0.9336355108111877,0.8774492309126455,0.05618627989854219
GIS,2011-10-31,Packaged Foods & Meats,PPL|PG|VZ|D|CL,MKC|HSY|SJM|HRL|CPB,0.8757611206830638,0.899420380150802,-0.02365925946773817
GWW,2011-10-31,Industrial Machinery & Supplies & Components,FAST|GPC|CASY|SHW|CINF,IEX|ITW|PH|DOV|SWK,0.9612993138465195,0.9430904849561382,0.018208828890381223
HIG,2011-10-31,Property & Casualty Insurance,KEY|BX|BAC|MU|PFG,WRB|TRV|CB|CINF|ACGL,0.747290434643042,0.7703991727908729,-0.023108738147830876
HRL,2011-10-31,Packaged Foods & Meats,ADP|ACGL|MKC|UPS|PFE,MKC|GIS|MDLZ|HSY|SJM,0.9368666500403456,0.9133178857289387,0.023548764311406956
HSY,2011-10-31,Packaged Foods & Meats,FE|VZ|LLY|GIS|KDP,CPB|GIS|CAG|HRL|MDLZ,0.8302050862333926,0.7418781290377827,0.0883269571956099
HUBB,2011-10-31,Industrial Machinery & Supplies & Components,HON|ROP|SNA|NUE|PPG,PNR|DOV|IEX|SWK|NDSN,0.9312147015702629,0.9060255005919791,0.02518920097828381
ICE,2011-10-31,Financial Exchanges & Data,FDS|HD|WELL|VTR|JCI,MSCI|CME|SPGI|FDS|NDAQ,0.7825185429841374,0.8414167350856572,-0.05889819210151981
IDXX,2011-10-31,Health Care Equipment,BG|CTAS|GEN|TECH|SYK,RVTY|RMD|BAX|DXCM|SYK,0.8038078289583817,0.7037003905925991,0.10010743836578251
IEX,2011-10-31,Industrial Machinery & Supplies & Components,CRL|VTRS|CSX|KIM|UHS,GWW|DOV|NDSN|SWK|ITW,0.9210036776035582,0.9527235789324163,-0.03171990132885816
IFF,2011-10-31,Specialty Chemicals,PGR|BF-B|LH|GILD|YUM,ALB|ECL|SHW|PPG|LYB,0.2821134790019002,0.5046877372066371,-0.22257425820473686
INTC,2011-10-31,Semiconductors,PAYX|MCHP|ADI|GPC|TGT,MCHP|QCOM|AMD|ON|AVGO,0.8948871824493418,0.8290523196815905,0.0658348627677513
INTU,2011-10-31,Application Software,FDS|JKHY|WBD|WELL|DOC,ADBE|SNPS|ADSK|TYL|CRM,0.9356944250463011,0.9154492816049441,0.020245143441356972
ISRG,2011-10-31,Health Care Equipment,AVB|EA|CNC|CSGP|AMAT,EW|BDX|MDT|RMD|ABT,0.848161711215978,0.8818022981334569,-0.03364058691747884
ITW,2011-10-31,Industrial Machinery & Supplies & Components,DE|NUE|DHR|REG|NTRS,SNA|DOV|GWW|NDSN|PH,0.9070078341100952,0.9061174820316216,0.0008903520784736552
IVZ,2011-10-31,Asset Management & Custody Banks,KKR|LII|HST|MET|BX,BK|NTRS|STT|AMP|BX,0.9108878225807441,0.9263314775634531,-0.015443654982709054
JPM,2011-10-31,Diversified Banks,GS|BK|AMP|AOS|GLW,USB|PNC|TFC|WFC|C,0.9631364903931785,0.9737470101926691,-0.01061051979949057
KKR,2011-10-31,Asset Management & Custody Banks,MET|HST|BX|IVZ|DD,BEN|IVZ|NTRS|BLK|BK,0.9032513130243565,0.8712444627301246,0.03200685029423189
LHX,2011-10-31,Aerospace & Defense,BA|PKG|CME|PNR|VRSN,GE|TXT|RTX|GD|TDG,0.8790395246313518,0.896736010083681,-0.017696485452329158
LMT,2011-10-31,Aerospace & Defense,MRK|EXC|T|MKC|NEE,AXON|BA|TXT|GD|RTX,0.7445517857382415,0.8023437487645744,-0.05779196302633283
LNT,2011-10-31,Electric Utilities,DTE|SJM|CNP|NEE|LMT,SO|DUK|PPL|EXC|EIX,0.8337286222977524,0.8586795225588328,-0.02495090026108049
LYB,2011-10-31,Specialty Chemicals,ALB|KKR|BKR|FCX|CBRE,ALB|IFF|SHW|DD|PPG,0.826532462692387,0.8724784053519131,-0.04594594265952612
MCHP,2011-10-31,Semiconductors,ADI|TXN|EFX|CMCSA|APD,ADI|NXPI|SWKS|AVGO|MPWR,0.913179406541836,0.9639162467731235,-0.05073684023128744
MCO,2011-10-31,Financial Exchanges & Data,COF|KIM|NDSN|PRU|UDR,NDAQ|ICE|FDS|MSCI|SPGI,0.9240850017424456,0.9245042333945611,-0.00041923165211554814
MDLZ,2011-10-31,Packaged Foods & Meats,NEE|T|CPB|CAG|ABT,SJM|MKC|GIS|TSN|HRL,0.8273222756553791,0.8404484181493931,-0.013126142494014004
MDT,2011-10-31,Health Care Equipment,GILD|CAH|YUM|HD|BF-B,PODD|ISRG|EW|BAX|SYK,0.8743712068517445,0.7355329909371733,0.13883821591457124
MKC,2011-10-31,Packaged Foods & Meats,EXC|T|LMT|IBM|CAG,CPB|GIS|HRL|HSY|MDLZ,0.7977793186613837,0.9077426609971077,-0.10996334233572391
MPWR,2011-10-31,Semiconductors,CRH|LYV|SATS|NDSN|NTAP,QCOM|MU|MCHP|FSLR|NXPI,0.7812470804843871,0.8699708750667721,-0.088723794582385
MSCI,2011-10-31,Financial Exchanges & Data,TFC|PNC|CME|ALL|LUV,MCO|ICE|FDS|CME|NDAQ,0.9077526913046992,0.9395187188935618,-0.0317660275888626
MTD,2011-10-31,Life Sciences Tools & Services,WAT|TDY|EA|WFC|DLR,A|TECH|WAT|DHR|CRL,0.8114215071917996,0.7537580109783479,0.05766349621345168
MU,2011-10-31,Semiconductors,AMD|AIG|COHR|SWKS|CIEN,ADI|AVGO|TXN|FSLR|MPWR,0.4602997120931436,0.4681097954051893,-0.007810083312045746
NDAQ,2011-10-31,Financial Exchanges & Data,MA|EBAY|USB|SPGI|VRSN,CBOE|FDS|SPGI|ICE|MSCI,0.930142218668417,0.9274860582957588,0.002656160372658145
NDSN,2011-10-31,Industrial Machinery & Supplies & Components,ROK|PRU|MCO|CMI|BEN,IEX|ITW|DOV|SWK|SNA,0.9204762215787239,0.9139428694950885,0.006533352083635369
NEE,2011-10-31,Multi-Utilities,AEP|MDLZ|T|DTE|ABT,PCG|XEL|ED|D|AEE,0.8903709106023978,0.7906446706847085,0.09972623991768936
NI,2011-10-31,Multi-Utilities,CMS|CL|WEC|CNP|TJX,PNW|XEL|ED|SRE|AEE,0.921768839109606,0.9299701765217406,-0.00820133741213458
NOC,2011-10-31,Aerospace & Defense,SBAC|HSIC|TAP|RTX|IBKR,AXON|GD|TDG|BA|RTX,0.9211263944314407,0.8948490936602472,0.0262773007711935
NTRS,2011-10-31,Asset Management & Custody Banks,DIS|ITW|REG|DE|APH,STT|BX|AMP|IVZ|KKR,0.9169715253272431,0.9304713298755496,-0.01349980454830646
NVDA,2011-10-31,Semiconductors,SWKS|CRM|LVS|AIG|AMD,INTC|ADI|QCOM|MPWR|NXPI,0.7451570991440337,0.7158505188918783,0.02930658025215538
NXPI,2011-10-31,Semiconductors,MGM|CIEN|AMD|MU|NVDA,MPWR|TXN|AMD|FSLR|INTC,0.8411187193174298,0.8725536052236172,-0.03143488590618748
ON,2011-10-31,Semiconductors,TROW|WDC|VMC|PFG|AVY,INTC|ADI|FSLR|MCHP|NXPI,0.7527736738706905,0.8108576430302998,-0.05808396915960934
ORCL,2011-10-31,Application Software,VRSN|JCI|NKE|WBD|BRK-B,CRM|INTU|PTC|ADBE|TYL,0.9404392934051167,0.9591741992949773,-0.018734905889860598
OXY,2011-10-31,Oil & Gas Exploration & Production,SWK|EOG|HST|FICO|STT,COP|APA|EOG|DVN|EQT,0.8734785420844045,0.9353631854767589,-0.061884643392354444
PCG,2011-10-31,Multi-Utilities,WEC|GIS|PPL|CL|JNJ,DTE|CNP|PNW|SRE|ED,0.6255536686244015,0.6789702756421162,-0.05341660701771467
PEG,2011-10-31,Electric Utilities,COST|EVRG|AWK|RSG|CHD,PPL|ETR|DUK|EIX|ES,0.8850065845918625,0.9189078384461358,-0.03390125385427323
PGR,2011-10-31,Property & Casualty Insurance,IFF|YUM|LH|MDT|GILD,ACGL|CB|TRV|CINF|ALL,0.7141069388822527,0.8737550852092191,-0.15964814632696633
PH,2011-10-31,Industrial Machinery & Supplies & Components,PCAR|TEL|BRO|ODFL|ETN,SWK|GWW|ITW|PNR|NDSN,0.9353693853458053,0.9386345272130815,-0.0032651418672762222
PNC,2011-10-31,Diversified Banks,CME|MSCI|TFC|CTSH|ALL,JPM|BAC|WFC|USB|C,0.9440609474705033,0.9633971020318863,-0.019336154561383045
PNR,2011-10-31,Industrial Machinery & Supplies & Components,PKG|CME|AXP|LHX|JCI,SNA|HUBB|DOV|GWW|PH,0.9356870298233246,0.9691401523744327,-0.033453122551108105
PNW,2011-10-31,Multi-Utilities,AEE|XEL|CMS|MCD|WEC,PCG|CNP|D|NEE|ED,0.9487439613678555,0.9325647712209371,0.016179190146918487
PODD,2011-10-31,Health Care Equipment,BLK|ARE|TXT|EXPE|TT,RVTY|ZBH|ISRG|EW|SYK,0.3776870951573162,0.3202783763087214,0.057408718848594775
PPG,2011-10-31,Specialty Chemicals,NSC|UNP|HUBB|HON|OMC,ALB|LYB|DD|ECL|IFF,0.9699432213871457,0.9177588348864835,0.05218438650066226
PPL,2011-10-31,Electric Utilities,CL|VZ|GIS|AEP|D,PEG|WEC|SO|EVRG|LNT,0.9158939898932154,0.9018102217541147,0.014083768139100616
PTC,2011-10-31,Application Software,VLO|OXY|RCL|AFL|EOG,CRM|CDNS|INTU|TYL|ADSK,0.8906020127789213,0.9333695497659094,-0.0427675369869881
QCOM,2011-10-31,Semiconductors,GEN|CI|BG|CTAS|BA,NXPI|SWKS|AVGO|MCHP|MPWR,0.7664291740278871,0.7306936788000177,0.03573549522786945
RMD,2011-10-31,Health Care Equipment,TMO|AMZN|WAT|MTD|AVY,SYK|DXCM|BSX|ABT|RVTY,0.8795901682552403,0.6760846849847493,0.203505483270491
RTX,2011-10-31,Aerospace & Defense,SBAC|NOC|BALL|IBKR|DRI,NOC|AXON|TDG|GD|GE,0.9438260024864986,0.9553169218898198,-0.011490919403321143
RVTY,2011-10-31,Health Care Equipment,AVY|SCHW|UDR|EQR|MMM,BAX|ABT|STE|RMD|DXCM,0.8755287920166743,0.679733419828969,0.19579537218770537
SHW,2011-10-31,Specialty Chemicals,GPC|PAYX|COR|ECL|PFE,DD|ECL|ALB|LYB|IFF,0.8196299747428697,0.8290491408987786,-0.009419166155908876
SJM,2011-10-31,Packaged Foods & Meats,CAG|LNT|T|MDLZ|NEE,TSN|MKC|CPB|CAG|MDLZ,0.6720348661285327,0.7282629833957919,-0.05622811726725918
SNA,2011-10-31,Industrial Machinery & Supplies & Components,CSX|OMC|FDX|HON|HUBB,HUBB|GWW|NDSN|DOV|IEX,0.9199772283423474,0.9171505127030257,0.0028267156393216863
SNPS,2011-10-31,Application Software,ECL|SHW|AEE|HD|INTU,ADSK|PTC|TRMB|CDNS|TYL,0.9018504512342226,0.9043906601256323,-0.002540208891409712
SO,2011-10-31,Electric Utilities,DUK|PG|GIS|ED|D,ES|PEG|PPL|DUK|EVRG,0.944484697818734,0.9342066600019895,0.010278037816744523
SPGI,2011-10-31,Financial Exchanges & Data,CI|SYK|UNH|EQIX|CTAS,ICE|MSCI|CBOE|MCO|CME,0.7966463372646024,0.7079658053186833,0.08868053194591918
SRE,2011-10-31,Multi-Utilities,EVRG|ETR|CMS|DTE|AEP,CMS|DTE|XEL|PCG|D,0.9454398673427117,0.958650125959512,-0.013210258616800363
STE,2011-10-31,Health Care Equipment,WAT|IT|LUV|MAA|WST,MDT|BDX|IDXX|RMD|RVTY,0.7725962443287092,0.8427760139163034,-0.0701797695875942
STT,2011-10-31,Asset Management & Custody Banks,EME|AFL|SWK|OXY|ODFL,BX|IVZ|BK|BLK|KKR,0.9100671906072059,0.946862167198265,-0.036794976591059125
SWK,2011-10-31,Industrial Machinery & Supplies & Components,OXY|AFL|STT|HST|ETN,GWW|PNR|DOV|HUBB|NDSN,0.9246278730674831,0.9503287185462014,-0.025700845478718315
SWKS,2011-10-31,Semiconductors,NVDA|AMD|CRM|COHR|MU,MU|TXN|QCOM|ON|MPWR,0.8038051018236166,0.8181895636900762,-0.014384461866459586
SYK,2011-10-31,Health Care Equipment,NRG|CCI|UNH|GEN|CTAS,ISRG|DXCM|RMD|STE|BDX,0.925153122034298,0.7983377019777599,0.12681542005653812
TDG,2011-10-31,Aerospace & Defense,VRSN|ACN|ORCL|USB|PNR,RTX|AXON|BA|GE|GD,0.8635185675910259,0.8402659559366292,0.023252611654396627
TECH,2011-10-31,Life Sciences Tools & Services,IDXX|NRG|SYK|WST|BG,WAT|MTD|DHR|CRL|TMO,0.9470587543822034,0.9326142279689849,0.014444526413218584
TFC,2011-10-31,Diversified Banks,MSCI|PNC|CME|EQIX|CTSH,JPM|BAC|PNC|WFC|C,0.9361442314963335,0.98452695711506,-0.048382725618726474
TMO,2011-10-31,Life Sciences Tools & Services,WAT|RMD|STE|CHRW|NRG,DHR|CRL|TECH|A|WAT,0.8283693439456585,0.8461917792210195,-0.01782243527536098
TPL,2011-10-31,Oil & Gas Exploration & Production,FIX|TKO|GNRC|CRH|AXON,APA|OXY|EOG|EQT|CTRA,0.14469677644354315,0.16044387893849402,-0.01574710249495087
TRMB,2011-10-31,Application Software,RL|CDNS|JBL|PWR|CCL,ORCL|PTC|ADBE|TYL|SNPS,0.887031639003743,0.9102173501705252,-0.02318571116678214
TROW,2011-10-31,Asset Management & Custody Banks,VMC|RJF|GLW|WFC|AVY,BK|BEN|BX|KKR|NTRS,0.9537320516865677,0.9464023645248738,0.00732968716169391
TRV,2011-10-31,Property & Casualty Insurance,L|ESS|AJG|PPG|AVB,WRB|PGR|ACGL|CINF|CB,0.9467598960575303,0.9677463006961928,-0.020986404638662526
TSN,2011-10-31,Packaged Foods & Meats,V|MSI|GRMN|LOW|ICE,SJM|HRL|MDLZ|CAG|GIS,0.8611760736595585,0.7594470783424422,0.10172899531711632
TXN,2011-10-31,Semiconductors,ADI|MCHP|FISV|APD|EFX,MU|ON|SWKS|MPWR|FSLR,0.9296477256309139,0.9587580146879177,-0.029110289057003746
TXT,2011-10-31,Aerospace & Defense,TT|HBAN|TFC|MSCI|EBAY,RTX|LMT|LHX|GD|NOC,0.7770359723725295,0.847991681535195,-0.07095570916266547
TYL,2011-10-31,Application Software,TTWO|BIIB|CSGP|EXR|TRV,CRM|TRMB|CDNS|ADSK|ORCL,0.8818725051334043,0.9014332230900924,-0.019560717956688123
USB,2011-10-31,Diversified Banks,VRSN|EBAY|LHX|EQIX|CME,TFC|WFC|PNC|BAC|JPM,0.8520800422088197,0.9407280355374906,-0.0886479933286709
WAT,2011-10-31,Life Sciences Tools & Services,STE|MTD|LUV|WFC|TDY,MTD|A|TECH|DHR|TMO,0.9230731189153435,0.9420009185049165,-0.018927799589573024
WEC,2011-10-31,Electric Utilities,CL|XEL|CMS|AEP|MCD,ES|PPL|EVRG|EIX|AEP,0.9408519302821005,0.9273195871654268,0.013532343116673617
WFC,2011-10-31,Diversified Banks,BLK|AVY|WAT|MTD|TROW,TFC|USB|BAC|JPM|PNC,0.9164655635437576,0.9687787800225817,-0.05231321647882403
WRB,2011-10-31,Property & Casualty Insurance,AJG|L|EFX|PSA|MRSH,ALL|PGR|CINF|HIG|CB,0.9076276050120597,0.8519680340113309,0.055659571000728825
XEL,2011-10-31,Multi-Utilities,WEC|MCD|DUK|AEP|PNW,D|PCG|AEE|CMS|PNW,0.955959428191489,0.9420688743510484,0.01389055384044069
ZBH,2011-10-31,Health Care Equipment,CLX|SYK|BAX|CCI|IRM,MDT|BSX|SYK|RMD|ABT,0.8474060349364173,0.8526705371890217,-0.005264502252604442
A,2014-04-30,Life Sciences Tools & Services,CI|IT|SATS|MTD|TSCO,CRL|WAT|TMO|DHR|MTD,0.5001594505649474,0.5785824164493822,-0.07842296588443487
ABBV,2014-04-30,Biotechnology,HCA|FICO|AMP|UHS|DD,REGN|AMGN|VRTX|BIIB|INCY,0.3199121378870676,0.2002032186643129,0.11970891922275473
ABT,2014-04-30,Health Care Equipment,ARE|BXP|FRT|UDR|MDLZ,EW|IDXX|RVTY|STE|MDT,-0.0329431655468356,0.3091237778523988,-0.3420669433992344
ACGL,2014-04-30,Property & Casualty Insurance,CHD|AWK|MTB|D|PGR,ALL|PGR|WRB|TRV|HIG,0.5200112321782213,0.6778159637157541,-0.15780473153753283
ADBE,2014-04-30,Application Software,CF|MPWR|SCHW|RCL|WDC,FICO|ORCL|TYL|PTC|SNPS,0.4096223955022552,0.7014812407368121,-0.29185884523455685
ADI,2014-04-30,Semiconductors,PFE|DGX|TXN|DPZ|MCHP,SWKS|NVDA|AMD|MPWR|NXPI,0.71048024263168,0.6503172650743724,0.060162977557307595
