section,year,rows,tickers,ai_mentions,ai_score,cloud_compute_score,cybersecurity_score,supply_chain_score,electrification_score
mda,2025,495,494,252,1.4137723420665043,6.556094232148706,2.403575007006807,6.194165940855184,5.018832848334157
mda,2026,406,406,249,1.55722913824161,5.4106845370804075,2.4427774417485244,5.633719546850721,5.410277025427917
risk_factors,2010,250,250,2,0.033817105819360295,2.6478743482024645,0.4530617944714101,10.691435305797693,3.6534388153598925
risk_factors,2011,361,361,2,0.024420362349336536,4.033390755740405,0.6780790892643397,11.406103608227102,3.6789913830496985
risk_factors,2012,401,401,2,0.020255304611086336,3.825010259214901,2.418761060703206,11.535154992198084,3.640655715697692
risk_factors,2013,416,416,2,0.01892047346592801,4.044805895030157,3.4876089443827167,11.822756924322901,3.774485769743815
risk_factors,2014,422,422,4,0.031056669973813008,3.75051574175467,4.743625797212266,12.120233823556966,3.9982764892613676
risk_factors,2015,436,435,4,0.02856141402994632,4.044184272323313,6.051152596533204,12.170891557573883,4.038104341775548
risk_factors,2016,437,435,7,0.04249082999286859,4.114474675468413,6.183480715861368,12.040838202014267,3.6410839399261077
risk_factors,2017,439,439,9,0.049220751092168606,4.041007482607418,7.146187115041574,12.338755208330033,3.9866816002033767
risk_factors,2018,453,450,30,0.16201259593626438,4.227925475772487,9.575724103702608,12.515556882621851,4.335604795542815
risk_factors,2019,460,459,55,0.35262866028473056,4.3949639832442,11.09521221295208,12.837323784748186,4.215595735563652
risk_factors,2020,466,466,124,0.6838680881749288,4.541855023257552,12.06621877561906,14.532287079864757,4.44216105735341
risk_factors,2021,474,474,136,0.6870785323618893,4.78238197978231,13.759833852918245,16.835486846682883,4.554997316861181
risk_factors,2022,480,480,159,0.7374957129259163,5.139039259002207,16.338734978432587,20.58625223953825,4.845908030207135
risk_factors,2023,482,482,308,1.5763949934125658,5.435044759295142,18.60885824700083,21.225160360348617,5.327870670590256
risk_factors,2024,485,485,1280,6.802936902396969,5.443584682629134,24.74229886894573,20.41525754710311,5.674207756882757
risk_factors,2025,489,488,1833,9.987877350488587,5.798374285091826,28.179271490780494,20.459794292503222,5.542053823359758
risk_factors,2026,403,403,1782,11.220128946724214,5.804522891296135,26.859404848673226,18.94041685478328,6.354798051696314
