view,theme,label,description
growth,theme_15,EL / INTC / CSCO / CHTR,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (3), Consumer Staples (1), Communication Services (1)"
growth,theme_16,CCL / KKR / APO / PPL,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (4), Consumer Discretionary (1), Utilities (1)"
growth,theme_17,APD / ETR / AWK / PCG,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Utilities (6), Materials (2)"
growth,theme_18,CAH / STLD / EXR / KIM,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Materials (2), Real Estate (2), Health Care (1)"
growth,theme_19,POOL / SATS / GIS / TTWO,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Communication Services (2), Consumer Discretionary (1), Consumer Staples (1)"
growth,theme_2,AIZ / ORLY / RVTY / SWK,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (2), Real Estate (2), Financials (1)"
growth,theme_20,STE / DECK / ECL / NUE,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (2), Materials (2), Industrials (2)"
growth,theme_21,XYZ / EQR / HAL / TJX,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Real Estate (2), Financials (1), Energy (1)"
growth,theme_22,A / NFLX / NXPI / NWS,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Communication Services (2), Information Technology (2), Health Care (1)"
growth,theme_23,TTD / TPL / MA / VRSN,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (3), Information Technology (2), Communication Services (1)"
growth,theme_24,CRH / BLK / SW / GEV,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Materials (2), Financials (1), Industrials (1)"
growth,theme_25,DELL / TTWO / MRNA / ABBV,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (2), Communication Services (2), Health Care (2)"
growth,theme_26,CME / GIS / TDG / ABBV,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (2), Financials (1), Consumer Staples (1)"
growth,theme_27,GIS / SATS / DELL / TPR,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Communication Services (2), Health Care (2), Consumer Staples (1)"
growth,theme_28,FIS / WDC / HUBB / APP,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (3), Financials (2), Industrials (1)"
growth,theme_29,CPAY / CCL / EXE / RCL,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (3), Utilities (2), Financials (1)"
growth,theme_3,SO / CNP / EVRG / AEE,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Utilities (7), Energy (1)"
growth,theme_30,GL / CMS / GPC / HIG,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (2), Utilities (1), Consumer Discretionary (1)"
growth,theme_31,VLTO / SOLV / TKO / KVUE,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (2), Communication Services (2), Industrials (1)"
growth,theme_32,APH / PLTR / SMCI / HOOD,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (4), Financials (3), Industrials (1)"
growth,theme_33,MRNA / ABBV / BG / SNPS,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (2), Information Technology (2), Consumer Staples (1)"
growth,theme_34,STE / DECK / ROP / EW,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (2), Consumer Discretionary (2), Materials (2)"
growth,theme_35,CLX / CL / SPG / VRSK,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Staples (2), Industrials (2), Real Estate (1)"
growth,theme_36,GEV / SW / CRH / BG,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Materials (2), Consumer Staples (2), Industrials (1)"
growth,theme_37,CARR / GE / EW / MMM,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (3), Health Care (3), Real Estate (1)"
growth,theme_38,ANET / PODD / FFIV / MSI,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (4), Health Care (2), Communication Services (1)"
growth,theme_39,VLTO / SOLV / GEHC / KVUE,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (2), Materials (2), Industrials (1)"
growth,theme_4,TFC / STT / PNC / FITB,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (6), Utilities (1), Health Care (1)"
growth,theme_5,DECK / ROP / ECL / STE,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (2), Materials (2), Health Care (2)"
growth,theme_6,APD / MLM / ETR / AWK,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Utilities (6), Materials (2)"
growth,theme_7,CME / KVUE / BLK / TKO,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (2), Health Care (2), Consumer Staples (1)"
growth,theme_8,SNDK / KVUE / VLTO / BLK,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Communication Services (2), Information Technology (1), Consumer Staples (1)"
growth,theme_9,DDOG / SNPS / INCY / REGN,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (4), Information Technology (3), Industrials (1)"
network,theme_0,MCO / BSX / ALGN / KR,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (2), Consumer Staples (2), Financials (1)"
network,theme_1,SHW / SCHW / SLB / ROST,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (2), Materials (1), Energy (1)"
network,theme_10,LMT / LHX / RCL / COST,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (3), Health Care (2), Consumer Discretionary (1)"
network,theme_11,SO / BKNG / WMT / AMZN,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (2), Information Technology (2), Utilities (1)"
network,theme_12,BBY / BEN / AWK / AVB,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (2), Real Estate (2), Consumer Discretionary (1)"
network,theme_13,VTRS / VRTX / MKC / DPZ,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (2), Information Technology (2), Consumer Staples (1)"
network,theme_14,FTV / NXPI / SPG / COF,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Real Estate (3), Information Technology (2), Industrials (1)"
network,theme_15,HON / RVTY / SNPS / HUBB,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (3), Health Care (2), Information Technology (2)"
network,theme_16,WMB / AIG / EME / EXR,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (2), Health Care (2), Energy (1)"
network,theme_17,PSA / FIX / ZTS / FAST,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (3), Financials (2), Real Estate (1)"
network,theme_18,NKE / J / GILD / FANG,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (2), Consumer Discretionary (1), Industrials (1)"
network,theme_19,GS / F / GM / XOM,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (2), Financials (1), Energy (1)"
network,theme_2,YUM / XEL / WYNN / WST,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (3), Real Estate (2), Utilities (1)"
network,theme_20,YUM / XEL / WYNN / WST,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (3), Real Estate (2), Utilities (1)"
network,theme_21,GD / TXN / ADI / ACN,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Industrials (4), Information Technology (3), Health Care (1)"
network,theme_22,YUM / XEL / WYNN / WST,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (3), Real Estate (2), Utilities (1)"
network,theme_23,NUE / NRG / UNH / XYL,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Utilities (2), Industrials (2), Materials (1)"
network,theme_24,NTAP / ANET / PANW / EXPE,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (4), Financials (3), Consumer Discretionary (1)"
network,theme_25,MU / IP / SW / MO,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (3), Materials (2), Consumer Staples (1)"
network,theme_26,SYF / SOLV / SRE / MNST,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Utilities (2), Industrials (2), Financials (1)"
network,theme_27,AVGO / NFLX / KO / BA,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (4), Communication Services (1), Consumer Staples (1)"
network,theme_28,AMZN / MSFT / TMO / HON,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (4), Consumer Discretionary (1), Health Care (1)"
network,theme_29,SNDK / PKG / CHRW / POOL,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (3), Consumer Discretionary (3), Materials (1)"
network,theme_3,CTVA / MPC / CSX / GEHC,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Health Care (4), Materials (1), Energy (1)"
network,theme_30,BKR / IBM / KDP / AKAM,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (4), Health Care (2), Energy (1)"
network,theme_31,HAS / BAC / UBER / DIS,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (2), Communication Services (2), Financials (1)"
network,theme_32,IRM / IFF / IT / ITW,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (2), Financials (2), Real Estate (1)"
network,theme_33,BX / JPM / WAT / NI,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (2), Health Care (2), Utilities (2)"
network,theme_34,EG / WDC / TMUS / PNR,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Financials (3), Industrials (3), Information Technology (1)"
network,theme_35,CVS / F / COHR / AAPL,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (3), Health Care (2), Information Technology (2)"
network,theme_36,YUM / XEL / WYNN / WST,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Discretionary (3), Real Estate (2), Utilities (1)"
network,theme_4,PKG / GPC / SNDK / AON,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Materials (1), Consumer Discretionary (1), Information Technology (1)"
network,theme_5,TRMB / KVUE / ES / ETN,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Utilities (2), Materials (2), Information Technology (1)"
network,theme_6,TYL / NOW / INTC / CIEN,Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Information Technology (8)
network,theme_7,AVY / IEX / LIN / ICE,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Materials (2), Information Technology (2), Industrials (1)"
network,theme_8,A / NFLX / NWSA / NWS,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Communication Services (3), Health Care (1), Consumer Discretionary (1)"
network,theme_9,CHD / TSN / HUM / HRL,"Auto-seeded from point-in-time run top loaded firms. Top sectors among top 8: Consumer Staples (3), Financials (2), Health Care (1)"
